City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Emmett,43.8735,-116.4993,100.29,26,91,19.33,US,1627687990
Ahipara,-35.1667,173.1667,58.89,83,100,15.26,NZ,1627688034
Kostomuksha,64.571,30.5767,51.35,96,47,4.32,RU,1627687739
Totonicapán,14.9167,-91.3667,65.79,66,40,3.0,GT,1627688038
Egvekinot,66.3167,-179.1667,36.41,93,100,5.53,RU,1627688041
Santa Marinella,42.0345,11.8536,80.08,80,0,3.31,IT,1627688043
Kudahuvadhoo,2.6708,72.8944,81.91,73,100,3.56,MV,1627688045
Piaçabuçu,-10.4056,-36.4344,73.53,80,4,8.08,BR,1627688047
Takoradze,4.8845,-1.7554,75.52,89,88,7.27,GH,1627688050
‘Ewa Beach,21.3156,-158.0072,89.55,49,75,15.01,US,1627688052
Souillac,-20.5167,57.5167,70.18,64,40,12.66,MU,1627688054
Isla Vista,34.4133,-119.861,98.67,55,1,17.27,US,1627687923
Mt. Pleasant,32.7941,-79.8626,91.54,81,1,5.99,US,1627687812
Wewak,-3.5534,143.6268,82.92,74,60,3.09,PG,1627688061
Camaná,-16.6228,-72.7111,60.48,83,83,4.27,PE,1627687782
Yushu,44.8,126.5333,76.41,89,88,9.71,CN,1627688065
Vila Velha,-20.3297,-40.2925,67.95,60,75,10.36,BR,1627688067
Lethem,3.3803,-59.7968,76.17,88,92,3.51,GY,1627688069
Pāvilosta,56.8879,21.1859,66.11,81,35,16.75,LV,1627688072
Hanumāngarh,29.5833,74.3167,87.49,66,7,8.28,IN,1627688074
Araouane,18.9048,-3.5265,95.9,30,47,14.23,ML,1627688076
Taldan,53.6667,124.8,59.07,67,99,9.44,RU,1627688078
Umluj,25.0213,37.2685,84.16,57,47,3.13,SA,1627688002
Quelimane,-17.8786,36.8883,67.95,94,40,2.3,MZ,1627688083
Honiara,-9.4333,159.95,82.98,77,86,1.74,SB,1627688085
Visnes,59.3556,5.2242,59.58,77,75,17.27,NO,1627688087
Yeppoon,-23.1333,150.7333,67.78,66,6,9.86,AU,1627688090
Dingle,10.9995,122.6711,83.82,77,99,11.25,PH,1627688092
Clarence Town,-32.5833,151.7833,60.85,46,3,2.42,AU,1627688094
Haines Junction,60.7522,-137.5108,73.35,28,1,8.05,CA,1627688096
Ostrovskoye,57.8057,42.2433,61.66,98,92,4.21,RU,1627688099
Acapulco de Juárez,16.8634,-99.8901,87.62,62,75,4.61,MX,1627687996
Hay River,60.8156,-115.7999,76.98,50,20,6.91,CA,1627687812
Malkara,40.89,26.9011,75.88,43,1,4.05,TR,1627688105
Borovoy,55.4333,86.0833,54.68,94,58,6.71,RU,1627688107
Rostock,54.0887,12.1405,64.94,72,77,6.62,DE,1627688110
Mersin Province,36.862,34.6509,79.95,54,0,4.27,TR,1627688112
Elesbão Veloso,-6.2019,-42.1403,83.97,27,56,7.2,BR,1627688114
Sakakah,29.9697,40.2064,87.37,16,0,9.44,SA,1627688116
Sengiley,53.9622,48.7944,68.07,86,97,8.84,RU,1627688119
Tailai,46.3833,123.4,69.93,95,100,5.59,CN,1627688121
Meulaboh,4.1363,96.1285,76.35,88,100,5.32,ID,1627688123
Berlevåg,70.8578,29.0864,45.73,89,75,9.69,NO,1627688125
Maţāy,28.419,30.7792,83.3,42,65,8.12,EG,1627688128
Wonosobo,-7.36,109.9025,67.8,92,90,3.18,ID,1627688130
Biak,-0.9131,122.8766,78.49,80,64,3.15,ID,1627688132
Babushkin,51.7122,105.8647,57.79,86,49,6.78,RU,1627688134
Pierre,44.3683,-100.351,70.99,81,90,1.01,US,1627688137
Enschede,52.2183,6.8958,63.34,80,10,8.01,NL,1627688139
Kinablangan,7.6947,126.5503,83.43,69,90,2.93,PH,1627688141
Ulaangom,49.9811,92.0667,57.83,71,100,10.6,MN,1627688143
Adré,13.4667,22.2,72.3,75,100,3.58,TD,1627688146
Nishihara,26.1842,127.7558,83.48,95,75,6.91,JP,1627688148
Laguna,38.421,-121.4238,110.21,22,1,5.01,US,1627688150
Ancud,-41.8697,-73.8203,42.33,81,4,6.35,CL,1627688152
Beringovskiy,63.05,179.3167,42.55,79,89,16.33,RU,1627688155
Tiksi,71.6872,128.8694,46.83,77,59,6.08,RU,1627688157
Auch,43.65,0.5833,67.91,87,64,6.51,FR,1627688159
Suslovo,56.2167,88.1167,54.27,92,4,3.11,RU,1627688161
Sulangan,11.1373,123.7228,83.59,75,95,9.55,PH,1627688164
Tsimmerbude,54.675,20.1347,60.85,67,1,14.76,RU,1627688166
Mitsamiouli,-11.3847,43.2844,76.17,67,0,4.29,KM,1627688168
Makakilo City,21.3469,-158.0858,88.12,49,75,9.22,US,1627688170
Gravelbourg,49.8834,-106.5512,86.27,21,0,11.5,CA,1627688173
Erzin,36.9559,36.2,79.52,77,0,1.25,TR,1627688175
Brasília,-15.7797,-47.9297,70.72,43,20,4.61,BR,1627688033
Slave Lake,55.2834,-114.769,78.78,44,1,5.75,CA,1627688179
Jiangyou,31.7667,104.7167,78.53,73,65,3.78,CN,1627688182
Muli,2.9167,73.5667,81.95,73,100,5.53,MV,1627688184
Baharly,38.4362,57.4316,81.01,19,33,3.67,TM,1627688186
Rantepao,-2.9701,119.8978,70.14,95,91,0.51,ID,1627688189
Khandyga,62.6667,135.6,68.9,37,16,0.81,RU,1627688191
Port Blair,11.6667,92.75,81.66,83,74,16.4,IN,1627688193
Boshnyakovo,49.6333,142.1667,64.85,87,93,8.77,RU,1627688195
Mari-Turek,56.7895,49.6235,62.64,97,100,3.06,RU,1627688198
Dhadar,28.3305,75.0632,85.23,71,83,4.0,IN,1627688200
Mogwase,-25.185,27.2665,49.89,33,0,2.59,ZA,1627688202
Myaundzha,63.0494,147.1858,53.08,46,4,5.99,RU,1627688204
Vestmannaeyjar,63.4427,-20.2734,55.0,92,57,8.01,IS,1627688207
Yüksekova,37.5736,44.2872,65.03,76,73,6.13,TR,1627688209
Marzuq,14.4,46.4667,74.43,69,95,8.01,YE,1627688211
Borgo San Dalmazzo,44.333,7.4858,69.84,75,0,6.04,IT,1627688214
Skibotn,69.3913,20.2679,48.47,95,100,3.89,NO,1627688216
Port Victoria,0.0939,33.9756,67.48,76,87,8.39,KE,1627688218
Kloulklubed,7.0419,134.2556,81.1,73,100,5.12,PW,1627688220
Yakeshi,49.2833,120.7333,64.8,95,100,10.89,CN,1627688223
Sudak,44.85,34.9667,75.16,68,0,3.8,UA,1627688225
Naze,28.3667,129.4833,81.52,77,99,2.91,JP,1627688227
Bonavista,48.6499,-53.1147,63.12,80,100,15.35,CA,1627688229
Fare,-16.7,-151.0167,77.56,72,42,17.94,PF,1627688232
Severobaykal'sk,55.65,109.3167,52.39,90,87,1.7,RU,1627688234
Río Gallegos,-51.6226,-69.2181,35.65,75,0,19.57,AR,1627688025
Dhidhdhoo,6.8833,73.1,81.72,77,17,10.65,MV,1627688238
Moyale,3.5167,39.0584,65.01,63,100,12.97,KE,1627688241
Salalah,17.0151,54.0924,77.09,94,90,11.5,OM,1627688243
Erenhot,43.6475,111.9767,66.74,63,0,14.5,CN,1627688245
Chicama,-7.8447,-79.1469,63.14,81,44,7.78,PE,1627688247
Copiapó,-27.3667,-70.3333,47.89,29,5,2.89,CL,1627688250
Lake Havasu City,34.4839,-114.3224,101.01,25,1,4.61,US,1627688252
Diu,20.7141,70.9822,81.01,85,100,19.06,IN,1627688254
Philadelphia,39.9523,-75.1638,82.51,46,20,13.8,US,1627688182
Moose Factory,51.2585,-80.6094,59.0,67,1,10.36,CA,1627688258
Greenwood,34.1668,-82.1165,92.1,68,1,5.75,US,1627688261
Ouadda,8.0777,22.4007,65.97,95,82,2.3,CF,1627688263
Baniachang,24.5167,91.3667,77.07,94,100,6.11,BD,1627688265
Karasjok,69.4719,25.5112,42.91,90,100,5.95,NO,1627688268
Matadi,-5.8167,13.45,71.89,78,0,3.98,CD,1627688270
Yuli,9.6989,10.2744,71.1,99,39,3.62,NG,1627688272
Nachingwea,-10.3833,38.7667,65.19,77,2,5.21,TZ,1627688274
Uppsala County,60.0,17.75,58.44,88,90,6.91,SE,1627688277
Teknāf,20.8624,92.3058,79.43,91,97,8.59,BD,1627688279
Sebring,27.4956,-81.4409,89.96,61,1,4.0,US,1627688281
Pandan,14.0453,124.1694,85.3,72,100,12.01,PH,1627688284
Kupino,54.3663,77.2981,58.57,50,44,12.28,RU,1627688286
Anaconda,46.1285,-112.9423,90.97,22,84,6.53,US,1627688288
Iskateley,67.6803,53.1512,41.54,91,8,1.66,RU,1627688290
Buluang,13.3068,123.3425,84.04,79,100,9.95,PH,1627688293
Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,100,90,11.18,RU,1627688295
Malindi,-3.2175,40.1191,73.87,83,99,15.66,KE,1627688297
Durban,-29.8579,31.0292,58.01,92,0,3.0,ZA,1627688300
Nantucket,41.2835,-70.0995,75.54,77,90,8.05,US,1627688302
Pisco,-13.7,-76.2167,62.65,77,40,18.41,PE,1627688121
Iringa,-7.7667,35.7,55.72,65,2,14.7,TZ,1627688306
Peno,56.9262,32.7426,57.22,78,55,8.23,RU,1627688309
Stornoway,58.2093,-6.3865,56.93,82,90,8.05,GB,1627688311
Manchar,19.0,73.9333,71.71,88,99,17.2,IN,1627688313
Garoowe,8.4054,48.4845,72.97,61,100,21.14,SO,1627688315
Hirado,33.3597,129.5531,81.75,85,89,10.11,JP,1627688318
Atambua,-9.1061,124.8925,77.34,63,46,2.86,ID,1627688320
